,artist_id,artist_name,artist_popularity,artist_followers,artist_genres,track_name,track_duration,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,release_date,target,position,chart_date,country,chart_type,chart_trend,song_streams,decade
447032,3TVXtAsR1Inumwj472S9r4,Drake,98,72492028,canadianhiphop,God's Plan,3.3162166666666666,81,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,2018-06-29,1,1,2018-03-01,Greece,top200,SAME_POSITION,8654.0,2010s
470022,3TVXtAsR1Inumwj472S9r4,Drake,98,72492028,canadianhiphop,Knife Talk (with 21 Savage ft. Project Pat),4.049416666666667,79,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,2021-09-03,1,29,2021-11-01,Australia,top200,MOVE_UP,77773.0,2020s
1091121,7tYKF4w9nC0nq9CsPZTHyP,SZA,96,11055072,pop,Good Days,4.641333333333334,77,0.461,0.651,1,-8.81,0,0.0568,0.418,1.26e-05,0.782,0.383,121.07,2022-12-09,1,99,2021-07-01,Australia,top200,MOVE_DOWN,39590.0,2020s
84245,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,95,53358803,barbadianpop,Love On The Brain,3.733333333333333,84,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,2016-01-28,1,137,2017-01-01,Austria,top200,MOVE_UP,1572.0,2010s
86868,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,95,53358803,barbadianpop,Needed Me,3.1933333333333334,82,0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898,2016-01-28,1,105,2017-01-01,Australia,top200,MOVE_UP,16772.0,2010s
86843,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,95,53358803,barbadianpop,Diamonds,3.752433333333333,74,0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.393,91.972,2012-01-01,0,170,2017-01-01,France,top200,MOVE_DOWN,15529.0,2010s
86863,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,95,53358803,barbadianpop,Only Girl (In The World),3.924883333333333,81,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,2010-01-01,1,139,2018-08-16,Ireland,top200,NEW_ENTRY,5218.0,2010s
87795,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,95,53358803,barbadianpop,S&M,4.06,79,0.769,0.684,1,-5.019,1,0.0411,0.0105,0.000125,0.0887,0.835,127.972,2010-01-01,1,99,2018-12-31,Belgium,top200,NEW_ENTRY,11271.0,2010s
17221,7dGJo4pcD2V6oG8kP0tJRR,Eminem,94,66862588,detroithiphop,Godzilla (feat. Juice WRLD),3.513333333333333,80,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,2020-01-17,1,46,2020-05-01,Australia,top200,MOVE_DOWN,81444.0,2020s
12947,7dGJo4pcD2V6oG8kP0tJRR,Eminem,94,66862588,detroithiphop,"Lose Yourself - From ""8 Mile"" Soundtrack",5.4411,75,0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374,2005-12-06,1,114,2017-01-01,Australia,top200,MOVE_UP,15026.0,2000s
10307,7dGJo4pcD2V6oG8kP0tJRR,Eminem,94,66862588,detroithiphop,The Real Slim Shady,4.736666666666666,85,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,2000-05-23,1,178,2018-02-01,Finland,top200,NEW_ENTRY,6780.0,2000s
8415,7dGJo4pcD2V6oG8kP0tJRR,Eminem,94,66862588,detroithiphop,Without Me,4.838666666666667,85,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,2002-05-26,1,192,2017-01-01,Australia,top200,NEW_ENTRY,9940.0,2000s
8327,7dGJo4pcD2V6oG8kP0tJRR,Eminem,94,66862588,detroithiphop,Mockingbird,4.179333333333333,89,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,2004-11-12,1,196,2017-01-02,Norway,top200,NEW_ENTRY,7360.0,2000s
1613266,3Nrfpe0tUJi4K4DXYWgMUX,BTS,93,61883632,kpop,FAKE LOVE,4.038883333333334,76,0.557,0.719,2,-4.515,0,0.0371,0.00267,0.0,0.306,0.345,77.502,2018-05-18,1,155,2020-05-01,Vietnam,top200,MOVE_UP,3162.0,2010s
131532,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,93,19442477,chicagorap,Heartless,3.5166666666666666,82,0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,2008-11-24,1,167,2021-07-23,United States,top200,NEW_ENTRY,237637.0,2000s
131646,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,93,19442477,chicagorap,Bound 2,3.8191,81,0.367,0.665,1,-2.821,1,0.0465,0.145,0.0,0.113,0.31,148.913,2013-06-18,1,176,2021-07-23,United States,top200,NEW_ENTRY,235988.0,2010s
131677,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,93,19442477,chicagorap,Flashing Lights,3.958433333333333,81,0.639,0.628,6,-7.578,0,0.0399,0.0381,0.0,0.386,0.43,90.482,2007-09-11,1,23,2017-01-22,Luxembourg,viral50,NEW_ENTRY,81000.0,2000s
131749,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,93,19442477,chicagorap,Stronger,5.197766666666666,78,0.617,0.717,10,-7.858,0,0.153,0.00564,0.0,0.408,0.49,103.992,2007-09-11,1,126,2017-01-01,Australia,top200,MOVE_DOWN,13966.0,2000s
133078,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,93,19442477,chicagorap,Violent Crimes,3.5886666666666667,77,0.669,0.419,1,-6.724,0,0.522,0.376,0.0,0.187,0.0397,109.813,2018-06-01,1,15,2018-06-02,Australia,top200,NEW_ENTRY,145695.0,2010s
80326,0EmeFodog0BfCgMzAIvKQp,Shakira,93,27421341,colombianpop,Hips Don't Lie (feat. Wyclef Jean),3.634883333333333,82,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,2005-11-28,1,138,2017-01-01,Denmark,top200,MOVE_DOWN,7356.0,2000s
80900,0EmeFodog0BfCgMzAIvKQp,Shakira,93,27421341,colombianpop,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),3.3771,79,0.758,0.871,2,-6.408,1,0.147,0.0062,0.0,0.0663,0.753,126.994,2010-05-28,1,175,2017-01-01,France,top200,MOVE_DOWN,15384.0,2010s
80975,0EmeFodog0BfCgMzAIvKQp,Shakira,93,27421341,colombianpop,"Whenever, Wherever",3.269333333333333,78,0.794,0.832,1,-4.862,0,0.0407,0.237,1.14e-05,0.203,0.871,107.657,2001-11-13,1,115,2018-03-08,Ireland,top200,NEW_ENTRY,5093.0,2000s
1618395,3Nrfpe0tUJi4K4DXYWgMUX,BTS,93,61883632,kpop,Butter,2.7492,76,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997,2022-06-10,1,16,2021-07-01,Bolivia,top200,MOVE_DOWN,11765.0,2020s
1604525,3Nrfpe0tUJi4K4DXYWgMUX,BTS,93,61883632,kpop,Boy With Luv (feat. Halsey),3.82955,78,0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947,2019-04-12,1,84,2020-05-01,Hong Kong,top200,MOVE_UP,3597.0,2010s
1589786,3Nrfpe0tUJi4K4DXYWgMUX,BTS,93,61883632,kpop,Dynamite,3.31755,80,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,2020-11-20,1,138,2021-07-01,Argentina,top200,MOVE_DOWN,33780.0,2020s
131684,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,93,19442477,chicagorap,Father Stretch My Hands Pt. 1,2.2653333333333334,79,0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,113.088,2016-06-10,1,113,2017-01-01,United States,top200,SAME_POSITION,195965.0,2010s
958818,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,92,28024332,chicagorap,Lean Wit Me,2.92925,76,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935,2018-12-10,1,181,2020-05-01,United States,top200,MOVE_DOWN,236094.0,2010s
213879,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,92,110157382,pop,Photograph,4.316433333333333,63,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,2013-01-01,0,140,2017-01-01,Australia,top200,NEW_ENTRY,12891.0,2010s
207510,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,92,110157382,pop,Bad Habits,3.8457666666666666,83,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,2021-10-29,1,4,2021-09-18,Iceland,top200,MOVE_UP,4749.0,2020s
182650,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,92,110157382,pop,Shape of You,3.8952,83,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,2017-03-03,1,58,2018-03-01,Argentina,top200,MOVE_UP,43707.0,2010s
1803811,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,92,19854841,pop,Prisoner (feat. Dua Lipa),2.822216666666667,80,0.781,0.67,3,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,127.99,2020-11-27,1,182,2021-09-18,Hungary,top200,MOVE_DOWN,3345.0,2020s
1810882,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,92,19854841,pop,Wrecking Ball,3.689333333333333,79,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964,2013-10-04,1,157,2018-07-26,Ireland,top200,NEW_ENTRY,5313.0,2010s
1802772,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,92,19854841,pop,Party In The U.S.A.,3.367766666666667,74,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,2009-01-01,0,154,2020-05-01,Australia,top200,MOVE_UP,33914.0,2000s
1810891,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,92,19854841,pop,Angels Like You,3.2742166666666668,78,0.672,0.642,5,-4.035,1,0.0313,0.0981,0.0,0.1,0.494,121.981,2020-11-27,1,125,2021-07-01,Netherlands,top200,MOVE_DOWN,28114.0,2020s
1811660,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,92,19854841,pop,Midnight Sky,3.721333333333333,78,0.699,0.805,4,-5.535,0,0.0345,0.00161,0.00177,0.249,0.232,109.976,2020-11-27,1,165,2021-07-01,Hungary,top200,MOVE_UP,3314.0,2020s
